Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_312370	N/A	RNA pseudouridine synthase superfamily protein	TGME49_312370
TGME49_312380	N/A	tetratricopeptide repeat-containing protein	TGME49_312380
TGME49_312390	N/A	hypothetical protein	TGME49_312390
TGME49_312400	N/A	exosomal 3'-5' exoribonuclease complex subunit, putative	TGME49_312400
TGME49_312410	N/A	methyltransferase, putative	TGME49_312410
TGME49_312420	GRA38	dense granule protein GRA38	TGME49_312420
TGME49_312430	OXA1	mitochondrial inner membrane protein OXA1, putative	TGME49_312430
TGME49_312460	N/A	zinc finger, MYND-type containing 12 family protein	TGME49_312460
TGME49_312470	N/A	hypothetical protein	TGME49_312470
TGME49_312480	N/A	uracil phosphoribosyltransferase FUR1, putative	TGME49_312480
TGME49_312490	N/A	hypothetical protein	TGME49_312490
TGME49_312500	N/A	hypothetical protein	TGME49_312500
TGME49_312510	KU80	ATP-dependent DNA helicase 2 subunit KU80	TGME49_312510
TGME49_312520	N/A	tRNA dimethylallyltransferase	TGME49_312520
TGME49_312530	N/A	splicing factor, CC1 family protein	TGME49_312530
TGME49_312540	N/A	hypothetical protein	TGME49_312540
TGME49_312560	EIF4E3	eukaryotic initiation factor eIF4E3	TGME49_312560
TGME49_312570	MAPKL1	CMGC kinase, MAPK family (ERK) MAPK-1	TGME49_312570
TGME49_312580	N/A	hypothetical protein	TGME49_312580
TGME49_312590	N/A	CLASP domain-containing protein	TGME49_312590
TGME49_312600	HSP21	heat shock protein HSP21	TGME49_312600
TGME49_312618	N/A	hypothetical protein	TGME49_312618
TGME49_312622	N/A	DUF803 domain-containing protein	TGME49_312622
TGME49_312630	GAC	glideosome-associated connector GAC	TGME49_312630
TGME49_312635	N/A	P-loop NTPase, putative	TGME49_312635
TGME49_312640	SELS	selenoprotein S, putative	TGME49_312640
TGME49_312650	N/A	TH1 domain-containing protein	TGME49_312650
TGME49_312660	N/A	hydrolase, putative	TGME49_312660
TGME49_312670	N/A	hypothetical protein	TGME49_312670
TGME49_312680	N/A	60S ribosomal protein L27, putative	TGME49_312680
TGME49_312690	N/A	hypothetical protein	TGME49_312690
TGME49_312700	N/A	hypothetical protein	TGME49_312700
TGME49_312820	N/A	hypothetical protein	TGME49_312820
TGME49_312830	N/A	hypothetical protein	TGME49_312830
TGME49_312840	N/A	hypothetical protein	TGME49_312840
TGME49_312850	N/A	hypothetical protein	TGME49_312850
TGME49_312860	N/A	PA domain-containing protein	TGME49_312860
TGME49_312875	N/A	hypothetical protein	TGME49_312875
TGME49_312905	N/A	polyribonucleotide 5-hydroxyl-kinase Clp1, putative	TGME49_312905
TGME49_312930	CGL	cystathione gamma lyase	TGME49_312930
TGME49_312940	N/A	hypothetical protein	TGME49_312940
TGME49_312950	N/A	RAP-1 family protein	TGME49_312950
TGME49_312960	N/A	ribosome biogenesis protein NOP16, putative	TGME49_312960
TGME49_312970	N/A	hypothetical protein	TGME49_312970
TGME49_312980	N/A	flagella associated protein, putative	TGME49_312980
TGME49_312990	N/A	DEAD/DEAH box ATP-dependent RNA helicase	TGME49_312990
TGME49_313000	N/A	Toxoplasma gondii family D protein	TGME49_313000
TGME49_313010	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide DDX6	TGME49_313010
TGME49_313020	N/A	STAS domain-containing protein	TGME49_313020
TGME49_313025	N/A	hypothetical protein	TGME49_313025
TGME49_313030	N/A	hypothetical protein	TGME49_313030
TGME49_313040	N/A	hypothetical protein	TGME49_313040
TGME49_313050	N/A	oxidoreductase, short chain dehydrogenase/reductase family protein	TGME49_313050
TGME49_313055	N/A	hypothetical protein	TGME49_313055
TGME49_313060	N/A	eukaryotic translation initiation factor 2B, putative	TGME49_313060
TGME49_313070	N/A	hypothetical protein	TGME49_313070
TGME49_313080	N/A	hypothetical protein	TGME49_313080
TGME49_313100	N/A	signal recognition particle SRP54 protein	TGME49_313100
TGME49_313110	N/A	hypothetical protein	TGME49_313110
TGME49_313120	N/A	DNA-directed RNA polymerase, alpha subunit	TGME49_313120
TGME49_313130	N/A	hypothetical protein	TGME49_313130
TGME49_313140	ICDH2	isocitrate dehydrogenase 2	TGME49_313140
TGME49_313150	N/A	DUF89/Fructose bisphosphatase	TGME49_313150
TGME49_313160	N/A	hypothetical protein	TGME49_313160
TGME49_313170	N/A	tRNA-Leu	TGME49_313170
TGME49_313180	PRP4K	pre-mRNA processing factor 4 kinase	TGME49_313180
TGME49_313190	RAB18	ras-related protein RAB18	TGME49_313190
TGME49_313200	FBXL2	F-Box Protein L2	TGME49_313200
TGME49_313210	N/A	hypothetical protein	TGME49_313210
TGME49_313220	N/A	hypothetical protein	TGME49_313220
TGME49_313230	N/A	eukaryotic initiation factor-2, alpha subunit	TGME49_313230
TGME49_313235	N/A	hypothetical protein	TGME49_313235
TGME49_313240	N/A	ethylene-responsive RNA helicase, putative	TGME49_313240
TGME49_313250	N/A	hypothetical protein	TGME49_313250
TGME49_313270	N/A	hypothetical protein	TGME49_313270
TGME49_313277	N/A	hypothetical protein	TGME49_313277
TGME49_313280	N/A	WD domain, G-beta repeat-containing protein	TGME49_313280
TGME49_313290	N/A	MORN repeat-containing protein	TGME49_313290
TGME49_313300	N/A	YL1 nuclear protein C-terminal domain-containing protein	TGME49_313300
TGME49_313305	N/A	hypothetical protein	TGME49_313305
TGME49_313310	N/A	DnaJ domain-containing protein	TGME49_313310
TGME49_313318	N/A	hypothetical protein	TGME49_313318
TGME49_313322	N/A	hypothetical protein	TGME49_313322
TGME49_313330	ROP27	rhoptry kinase family protein ROP27	TGME49_313330
TGME49_313340	N/A	hypothetical protein	TGME49_313340
TGME49_313350	N/A	WD repeat-containing protein	TGME49_313350
TGME49_313360	N/A	hypothetical protein	TGME49_313360
TGME49_313370	N/A	leucine rich repeat-containing protein	TGME49_313370
TGME49_313380	ILP1	IMC localizing protein ILP1	TGME49_313380
TGME49_313385	N/A	hypothetical protein	TGME49_313385
TGME49_313390	RPL6	ribosomal protein RPL6	TGME49_313390
TGME49_313400	N/A	DnaJ domain-containing protein	TGME49_313400
TGME49_313410	N/A	proteasome 26S regulatory subunit	TGME49_313410
TGME49_313418	N/A	hypothetical protein	TGME49_313418
TGME49_313422	N/A	hypothetical protein	TGME49_313422
TGME49_313430	N/A	nucleoporin, putative	TGME49_313430
TGME49_313440	GRA59	dense granule protein GRA59	TGME49_313440
TGME49_313445	N/A	hypothetical protein	TGME49_313445
TGME49_313450	N/A	AP-2 complex subunit sigma-1, putative	TGME49_313450
TGME49_313460	N/A	hypothetical protein	TGME49_313460
TGME49_313470	N/A	helix-hairpin-helix motif domain-containing protein	TGME49_313470
TGME49_313475	N/A	hypothetical protein	TGME49_313475
TGME49_313480	AAP3	apical annuli protein AAP3	TGME49_313480
TGME49_313495	N/A	THO complex subunit 2, putative	TGME49_313495
TGME49_313520	N/A	hypothetical protein	TGME49_313520
TGME49_313530	N/A	transmembrane protein 167, putative	TGME49_313530
TGME49_313540	N/A	hypothetical protein	TGME49_313540
TGME49_313550	RPL22	ribosomal protein RPL22	TGME49_313550
TGME49_313560	N/A	60S ribosomal protein L7a, putative	TGME49_313560
TGME49_313570	N/A	regulator of chromosome condensation (RCC1) repeat-containing protein	TGME49_313570
TGME49_313580	N/A	cytochrome b5 family heme/steroid binding domain-containing protein	TGME49_313580
TGME49_313590	N/A	CLEC16A domain-containing protein	TGME49_313590
TGME49_313600	N/A	DDHD domain-containing protein	TGME49_313600
TGME49_313630	N/A	VPS13 domain-containing protein	TGME49_313630
TGME49_313640	N/A	hypothetical protein	TGME49_313640
TGME49_313650	N/A	hypothetical protein	TGME49_313650
TGME49_313660	N/A	hypothetical protein	TGME49_313660
TGME49_313665	N/A	hypothetical protein	TGME49_313665
TGME49_313670	N/A	AP-1 complex subunit gamma, putative	TGME49_313670
TGME49_313677	N/A	hypothetical protein	TGME49_313677
TGME49_313680	N/A	hypothetical protein	TGME49_313680
TGME49_313690	N/A	Sel1 repeat-containing protein	TGME49_313690
TGME49_313700	N/A	hypothetical protein	TGME49_313700
TGME49_313710	N/A	hypothetical protein	TGME49_313710
TGME49_313725	N/A	RNA binding protein, putative	TGME49_313725
TGME49_313740	N/A	zinc finger (CCCH type) motif-containing protein	TGME49_313740
TGME49_313750	N/A	hypothetical protein	TGME49_313750
TGME49_313760	N/A	RING zinc finger protein	TGME49_313760
TGME49_313770	N/A	hypothetical protein	TGME49_313770
TGME49_313775	N/A	hypothetical protein	TGME49_313775
TGME49_313780	N/A	hypothetical protein	TGME49_313780
TGME49_313790	CEP44	centrosomal protein CEP44, putative	TGME49_313790
TGME49_313800	N/A	tRNA-Asn	TGME49_313800
TGME49_313810	TAF8	transcription initiation factor TFIID complex subunit TAF8	TGME49_313810
TGME49_313820	N/A	dynactin p25, putative	TGME49_313820
TGME49_313830	N/A	AARP2CN (NUC121) domain-containing protein	TGME49_313830
TGME49_313840	N/A	hypothetical protein	TGME49_313840
TGME49_313848	N/A	hypothetical protein	TGME49_313848
TGME49_313852	N/A	hypothetical protein	TGME49_313852
TGME49_313860	N/A	regulator of chromosome condensation (RCC1) repeat-containing protein	TGME49_313860
TGME49_313870	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_313870
TGME49_313880	N/A	nuclear protein-like family protein	TGME49_313880
TGME49_313890	N/A	hypothetical protein	TGME49_313890
TGME49_313900	N/A	non-specific serine/threonine protein kinase	TGME49_313900
TGME49_313910	N/A	RNA recognition motif 2 protein	TGME49_313910
TGME49_313930	CRT	chloroquine resistance transporter CRT	TGME49_313930
TGME49_313940	N/A	hypothetical protein	TGME49_313940
TGME49_313950	N/A	GMC oxidoreductase	TGME49_313950
TGME49_313960	N/A	ribosomal protein L19 protein	TGME49_313960
TGME49_313970	N/A	Phytanoyl-CoA dioxygenase (PhyH) superfamily protein	TGME49_313970
TGME49_313980	N/A	ribosome biogenesis protein nep1, putative	TGME49_313980
TGME49_313990	N/A	CBF/Mak21 family protein	TGME49_313990
TGME49_314000	N/A	peptide methionine sulfoxide reductase msrB, putative	TGME49_314000
TGME49_314020	N/A	hypothetical protein	TGME49_314020
TGME49_314030	N/A	hypothetical protein	TGME49_314030
TGME49_314042	N/A	cytochrome c1 heme lyase, putative	TGME49_314042
TGME49_314055	N/A	splicing factor, putative	TGME49_314055
TGME49_314070	N/A	hypothetical protein	TGME49_314070
TGME49_314080	N/A	hypothetical protein	TGME49_314080
TGME49_314090	N/A	proteasome subunit beta type-3, putative	TGME49_314090
TGME49_314100	N/A	tetratricopeptide repeat-containing protein	TGME49_314100
TGME49_314110	N/A	hypothetical protein	TGME49_314110
TGME49_314220	N/A	hypothetical protein	TGME49_314220
TGME49_314240	GTF3C3	general transcription factor IIIC polypeptide 3 GTF3C3	TGME49_314240
TGME49_314250	BRP1	bradyzoite rhoptry protein BRP1	TGME49_314250
TGME49_314260	N/A	hypothetical protein	TGME49_314260
TGME49_314265	N/A	hypothetical protein	TGME49_314265
TGME49_314270	N/A	peptidyl-tRNA hydrolase domain-containing protein	TGME49_314270
TGME49_314280	N/A	AAR2 protein	TGME49_314280
TGME49_314295	N/A	ribosomal l25 family protein	TGME49_314295
TGME49_314310	N/A	hypothetical protein	TGME49_314310
TGME49_314320	N/A	GTP-binding protein, putative	TGME49_314320
TGME49_314330	N/A	ABC transporter, ATP-binding domain-containing protein	TGME49_314330
TGME49_314340	N/A	Sodium:neurotransmitter symporter family protein	TGME49_314340
TGME49_314350	N/A	hypothetical protein	TGME49_314350
TGME49_314370	N/A	hypothetical protein	TGME49_314370
TGME49_314390	N/A	hypothetical protein	TGME49_314390
TGME49_314400	N/A	pyruvate dehydrogenase E1 component, beta subunit, putative	TGME49_314400
TGME49_314410	N/A	aquarius, putative	TGME49_314410
TGME49_314415	N/A	hypothetical protein	TGME49_314415
TGME49_314418	N/A	AP-4 complex subunit sigma, putative	TGME49_314418
TGME49_314422	N/A	rhodanese family domain-containing protein	TGME49_314422
TGME49_314430	N/A	serine/threonine specific protein phosphatase	TGME49_314430
TGME49_314440	N/A	hypothetical protein	TGME49_314440
TGME49_314450	N/A	hypothetical protein	TGME49_314450
TGME49_314460	N/A	hypothetical protein	TGME49_314460
TGME49_314470	N/A	hypothetical protein	TGME49_314470
TGME49_314480	N/A	hypothetical protein	TGME49_314480
TGME49_314482	N/A	hypothetical protein	TGME49_314482
TGME49_314485	N/A	hypothetical protein	TGME49_314485
TGME49_314490	N/A	hypothetical protein	TGME49_314490
TGME49_314500	SUB2	subtilisin SUB2	TGME49_314500
TGME49_314515	N/A	hypothetical protein	TGME49_314515
TGME49_314530	N/A	RPAP1 family, C-terminal protein	TGME49_314530
TGME49_314540	N/A	hypothetical protein	TGME49_314540
TGME49_314550	N/A	hypothetical protein	TGME49_314550
TGME49_314560	N/A	hypothetical protein	TGME49_314560
TGME49_314570	N/A	hypothetical protein	TGME49_314570
TGME49_314650	N/A	hypothetical protein	TGME49_314650
TGME49_314660	N/A	TPRX1 protein	TGME49_314660
TGME49_314670	N/A	hypothetical protein	TGME49_314670
TGME49_314700	N/A	hypothetical protein	TGME49_314700
TGME49_314710	N/A	carrier superfamily protein	TGME49_314710
TGME49_314715	N/A	hypothetical protein	TGME49_314715
TGME49_314720	N/A	trafficking protein particle complex subunit 2, putative	TGME49_314720
TGME49_314730	N/A	ALG6, ALG8 glycosyltransferase family protein	TGME49_314730
TGME49_314740	N/A	PSP protein	TGME49_314740
TGME49_314750	N/A	ribosomal protein L1, putative	TGME49_314750
TGME49_314780	N/A	myosin G	TGME49_314780
TGME49_314790	N/A	small nuclear ribonucleoprotein G, putative	TGME49_314790
TGME49_314800	N/A	hypothetical protein	TGME49_314800
TGME49_314810	RPL7	ribosomal protein RPL7	TGME49_314810
TGME49_314820	N/A	atp synthase F1, epsilon subunit, putative	TGME49_314820
TGME49_314830	N/A	pre-mRNA splicing factor subunit, putative	TGME49_314830
TGME49_314840	N/A	ubiquitin carboxyl-terminal hydrolase	TGME49_314840
TGME49_314850	N/A	peptidase, M16 family potein	TGME49_314850
TGME49_314860	N/A	zinc knuckle domain-containing protein	TGME49_314860
TGME49_314875	N/A	RIC1 protein	TGME49_314875
TGME49_314885	N/A	hypothetical protein	TGME49_314885
TGME49_314890	N/A	ThiF family protein	TGME49_314890
TGME49_314900	N/A	LisH protein	TGME49_314900
TGME49_314910	N/A	starch binding domain-containing protein	TGME49_314910
TGME49_314920	N/A	hypothetical protein	TGME49_314920
TGME49_314955	N/A	DNA ligase (NAD+), putative	TGME49_314955
TGME49_314970	N/A	root hair defective 3 gtp-binding protein (rhd3) protein	TGME49_314970
TGME49_315080	N/A	hypothetical protein	TGME49_315080
TGME49_315090	N/A	hypothetical protein	TGME49_315090
TGME49_315100	N/A	hypothetical protein	TGME49_315100
TGME49_315110	N/A	prefoldin subunit 5, putative	TGME49_315110
TGME49_315120	N/A	hypothetical protein	TGME49_315120
TGME49_315130	N/A	L-isoaspartyl protein carboxyl methyltransferase family protein	TGME49_315130
TGME49_315140	N/A	WD domain, G-beta repeat-containing protein	TGME49_315140
TGME49_315150	EIF4E2	eukaryotic initiation factor eIF4E2	TGME49_315150
TGME49_315160	RASP2	rhoptry apical surface protein RASP2	TGME49_315160
TGME49_315160	RASP2	rhoptry apical surface protein RASP2	TGME49_315160
TGME49_315170	N/A	O-phosphoseryl-tRNA(Sec) selenium transferase	TGME49_315170
TGME49_315190	N/A	CAM kinase, SNF1 family	TGME49_315190
TGME49_315200	N/A	tRNA-Gln	TGME49_315200
TGME49_315210	N/A	rhoptry protein, putative	TGME49_315210
TGME49_315220	ROP14	rhoptry protein ROP14	TGME49_315220
TGME49_315230	N/A	hypothetical protein	TGME49_315230
TGME49_315240	N/A	hypothetical protein	TGME49_315240
TGME49_315250	N/A	GAMM1 protein, putative	TGME49_315250
TGME49_315260	N/A	alanine dehydrogenase	TGME49_315260
TGME49_315270	N/A	hypothetical protein	TGME49_315270
TGME49_315280	N/A	hypothetical protein	TGME49_315280
TGME49_315290	N/A	hypothetical protein	TGME49_315290
TGME49_315300	N/A	transcription factor IIB, putative	TGME49_315300
TGME49_315310	N/A	hypothetical protein	TGME49_315310
TGME49_315320	SRS52A	SAG-related sequence SRS52A	TGME49_315320
TGME49_315330	SRS52D	SAG-related sequence SRS52D	TGME49_315330
TGME49_315340	SRS52C	SAG-related sequence SRS52C	TGME49_315340
TGME49_315345	SRS52F	SAG-related sequence SRS52F	TGME49_315345
TGME49_315350	VPS46	vacuolar protein sorting-associated protein 46, putative	TGME49_315350
TGME49_315360	INCENP2	inner centromere protein INCENP2	TGME49_315360
TGME49_315370	SRS53A	SAG-related sequence SRS53A	TGME49_315370
TGME49_315380	SRS53B	SAG-related sequence SRS53B	TGME49_315380
TGME49_315390	SRS53C	SAG-related sequence SRS53C	TGME49_315390
TGME49_315400	SRS53D	SAG-related sequence SRS53D	TGME49_315400
TGME49_315410	SRS53F	SAG-related sequence SRS53F	TGME49_315410
TGME49_315420	N/A	hypothetical protein	TGME49_315420
TGME49_315440	N/A	hypothetical protein	TGME49_315440
TGME49_315450	N/A	hypothetical protein	TGME49_315450
TGME49_315460	N/A	hypothetical protein	TGME49_315460
TGME49_315470	N/A	hypothetical protein	TGME49_315470
TGME49_315480	N/A	acyl-CoA dehydrogenase, middle domain-containing protein	TGME49_315480
TGME49_315490	ROP10	rhoptry protein ROP10	TGME49_315490
TGME49_315495	N/A	hypothetical protein	TGME49_315495
TGME49_315500	N/A	hypothetical protein	TGME49_315500
TGME49_315510	APR1	apical polar ring protein APR1	TGME49_315510
TGME49_315520	CBDP1	calcium-binding egf domain-containing protein CBDP1	TGME49_315520
TGME49_315530	VPS39	vacuolar protein sorting-associated protein 39	TGME49_315530
TGME49_315540	N/A	calcium binding egf domain-containing protein	TGME49_315540
TGME49_315550	CBDP4	calcium-binding egf domain-containing protein CBDP4	TGME49_315550
TGME49_315560	ABCG77	ATP-binding cassette G family transporter ABCG77	TGME49_315560
TGME49_315570	N/A	histone H1-like protein	TGME49_315570
TGME49_315580	N/A	hypothetical protein	TGME49_315580
TGME49_315590	N/A	macro domain-containing protein	TGME49_315590
TGME49_315600	N/A	MCM2/3/5 family protein	TGME49_315600
TGME49_315610	N/A	hypothetical protein	TGME49_315610
TGME49_315620	N/A	vacuolar ATP synthase subunit C, putative	TGME49_315620
TGME49_315630	N/A	hypothetical protein	TGME49_315630
TGME49_315640	N/A	lipoyl(octanoyl) transferase	TGME49_315640
TGME49_315650	N/A	tRNA-Val	TGME49_315650
TGME49_315660	N/A	hypothetical protein	TGME49_315660
TGME49_315670	PP2A-A	serine/threonine-protein phosphatase PP2A subunit A	TGME49_315670
TGME49_315680	N/A	vacuolar protein sorting-associated protein vps4, putative	TGME49_315680
TGME49_315690	N/A	DnaJ domain-containing protein	TGME49_315690
TGME49_315700	N/A	hypothetical protein	TGME49_315700
TGME49_315705	N/A	hypothetical protein	TGME49_315705
TGME49_315710	N/A	hypothetical protein	TGME49_315710
TGME49_315715	N/A	hypothetical protein	TGME49_315715
TGME49_315720	N/A	Smg-4/UPF3 family protein	TGME49_315720
TGME49_315730	AMA3	apical membrane antigen AMA3	TGME49_315730
TGME49_315740	SRS54	SAG-related sequence SRS54	TGME49_315740
TGME49_315750	IMC26	inner membrane complex protein IMC26	TGME49_315750
TGME49_315760	AP2XI4	AP2 domain transcription factor AP2XI-4	TGME49_315760
TGME49_315770	CYP450mt	cytochrome p450	TGME49_315770
TGME49_315780	MLC7	myosin light chain MLC7	TGME49_315780
TGME49_315810	N/A	tRNA nucleotidyltransferase/poly(A) polymerase family protein	TGME49_315810
TGME49_315820	N/A	hypothetical protein	TGME49_315820
TGME49_315855	N/A	hypothetical protein	TGME49_315855
TGME49_315860	N/A	EF hand domain-containing protein	TGME49_315860
TGME49_315885	N/A	glycosyltransferase, putative	TGME49_315885
TGME49_315900	N/A	hypothetical protein	TGME49_315900
TGME49_315910	N/A	hypothetical protein	TGME49_315910
TGME49_315920	POLR2J	DNA-directed RNA polymerase II RPB11A	TGME49_315920
TGME49_315930	SDH18	succinate dehydrogenase subunit SDH18	TGME49_315930
TGME49_315940	N/A	rhoptry protein, putative	TGME49_315940
TGME49_315950	CSAR1	cytoskeleton salvaging RING family member 1	TGME49_315950
TGME49_315958	N/A	radical SAM domain-containing protein	TGME49_315958
TGME49_315962	N/A	hypothetical protein	TGME49_315962
TGME49_315970	LOXL1	lipoxygenase-like enzyme LOXL1	TGME49_315970
TGME49_315980	N/A	EREBP-4 family protein	TGME49_315980
TGME49_316090	N/A	RNAse P Rpr2/Rpp21 subunit domain-containing protein	TGME49_316090
TGME49_316100	N/A	queuine trna-ribosyltransferase domain-containing protein	TGME49_316100
TGME49_316110	RPS15	ribosomal protein RPS15	TGME49_316110
TGME49_316120	N/A	hypothetical protein	TGME49_316120
TGME49_316130	N/A	hypothetical protein	TGME49_316130
TGME49_316140	N/A	MGR2 domain-containing protein	TGME49_316140
TGME49_316150	N/A	ULK kinase	TGME49_316150
TGME49_316180	N/A	hypothetical protein	TGME49_316180
TGME49_316190	SOD3	superoxide dismutase SOD3	TGME49_316190
TGME49_316200	N/A	phosphoglycerate mutase family protein	TGME49_316200
TGME49_316210	N/A	hypothetical protein	TGME49_316210
TGME49_316220	MED6	mediator complex subunit MED6	TGME49_316220
TGME49_316230	N/A	SAC1 phosphoinositide phosphatase, putative	TGME49_316230
TGME49_316235	N/A	hypothetical protein	TGME49_316235
TGME49_316240	N/A	dynactin subunit 4, putative	TGME49_316240
TGME49_316250	GRA45	dense granule protein GRA45	TGME49_316250
TGME49_316255	N/A	hypothetical protein	TGME49_316255
TGME49_316260	N/A	hypothetical protein	TGME49_316260
TGME49_316270	N/A	prenyltransferase GGT-2	TGME49_316270
TGME49_316280	TFP3	transporter facilitator protein TFP3	TGME49_316280
TGME49_316290	N/A	hypothetical protein	TGME49_316290
TGME49_316300	N/A	ATP-dependent DNA helicase, RecQ family protein	TGME49_316300
TGME49_316310	SOD	superoxide dismutase SOD1	TGME49_316310
TGME49_316320	N/A	ABC transporter transmembrane region domain-containing protein	TGME49_316320
TGME49_316330	SOD2	superoxide dismutase SOD2	TGME49_316330
TGME49_316340	IMC22	inner membrane complex protein IMC22	TGME49_316340
TGME49_316350	N/A	hypothetical protein	TGME49_316350
TGME49_316360	N/A	hypothetical protein	TGME49_316360
TGME49_316370	N/A	hypothetical protein	TGME49_316370
TGME49_316400	TUBA1	alpha tubulin TUBA1	TGME49_316400
TGME49_316410	N/A	hypothetical protein	TGME49_316410
TGME49_316420	N/A	leucine rich repeat-containing protein	TGME49_316420
TGME49_316430	N/A	target of rapamycin (TOR), putative	TGME49_316430
TGME49_316450	CERS2	ceramide synthase CERS2, putative	TGME49_316450
TGME49_316460	N/A	tRNA-Asp	TGME49_316460
TGME49_316470	N/A	hypothetical protein	TGME49_316470
TGME49_316480	N/A	XRN 5'-3' exonuclease N-terminus protein	TGME49_316480
TGME49_316490	N/A	hypothetical protein	TGME49_316490
TGME49_316500	N/A	tRNA-Arg	TGME49_316500
TGME49_316510	N/A	zinc finger (CCCH type) motif-containing protein	TGME49_316510
TGME49_316520	SBE1	1,4-alpha-glucan-branching enzyme	TGME49_316520
TGME49_316530	AKIT7	apicomplexan kinetochore protein AKIT7, putative	TGME49_316530
TGME49_316540	ISP3	IMC sub-compartment protein ISP3	TGME49_316540
TGME49_316550	N/A	hypothetical protein	TGME49_316550
TGME49_316560	N/A	Toxoplasma gondii family D protein	TGME49_316560
TGME49_316570	N/A	hypothetical protein	TGME49_316570
TGME49_316580	N/A	hypothetical protein	TGME49_316580
TGME49_316590	N/A	tRNA-Lys	TGME49_316590
TGME49_316600	SELK	selenoprotein K, putative	TGME49_316600
TGME49_316610	N/A	hypothetical protein	TGME49_316610
TGME49_316620	CDC20	cell division cycle protein CDC20, putative	TGME49_316620
TGME49_316635	N/A	hypothetical protein	TGME49_316635
TGME49_316650	N/A	hypothetical protein	TGME49_316650
TGME49_316660	N/A	cullin family protein	TGME49_316660
TGME49_316670	N/A	Toxoplasma gondii family D protein	TGME49_316670
TGME49_316680	N/A	RNA pseudouridine synthase superfamily protein	TGME49_316680
TGME49_316690	N/A	hypothetical protein	TGME49_316690
TGME49_316700	N/A	uridine kinase	TGME49_316700
TGME49_316710	N/A	hypothetical protein	TGME49_316710
TGME49_316730	NDP2	non-discharge partner NDP2	TGME49_316730
TGME49_316750	N/A	DEAD/DEAH box helicase domain-containing protein	TGME49_316750
TGME49_316760	N/A	hypothetical protein	TGME49_316760
TGME49_316770	N/A	undecaprenyl diphosphate synthase	TGME49_316770
TGME49_316780	N/A	hypothetical protein	TGME49_316780
TGME49_316890	HOWP1	hypothetical oocyst wall protein HOWP1	TGME49_316890
TGME49_316900	N/A	Sas10 C-terminal domain-containing protein	TGME49_316900
TGME49_317705	N/A	enoyl-CoA hydratase/isomerase family protein	TGME49_317705
TGME49_317720	N/A	eukaryotic translation initiation factor 3 subunit 7, putative	TGME49_317720
TGME49_317820	N/A	hypothetical protein	TGME49_317820
TGME49_317830	N/A	hypothetical protein	TGME49_317830
TGME49_318120	N/A	hypothetical protein	TGME49_318120
TGME49_318130	N/A	Toxoplasma gondii family E protein	TGME49_318130
TGME49_318140	N/A	SART-1 family protein	TGME49_318140
TGME49_318150	ApiAT3-1	apicomplexan amino acid transporter ApiAT3-1	TGME49_318150
TGME49_318160	N/A	MSP (Major sperm protein) domain-containing protein	TGME49_318160
TGME49_318170	N/A	hypothetical protein	TGME49_318170
TGME49_318180	PEX16	peroxisomal membrane protein PEX16, putative	TGME49_318180
TGME49_318190	N/A	phosphoglycerate mutase family protein	TGME49_318190
TGME49_318210	N/A	hypothetical protein	TGME49_318210
TGME49_318220	N/A	hypothetical protein	TGME49_318220
TGME49_318230	PGKI	phosphoglycerate kinase PGKI	TGME49_318230
TGME49_318240	N/A	Tubulin-tyrosine ligase family protein	TGME49_318240
TGME49_318260	TAF5	transcription initiation factor TFIID subunit TAF5	TGME49_318260
TGME49_318275	N/A	peptidyl-prolyl cis-trans isomerase, FKBP-type domain-containing protein	TGME49_318275
TGME49_318290	N/A	PDZ domain-containing protein	TGME49_318290
TGME49_318300	N/A	hypothetical protein	TGME49_318300
TGME49_318310	N/A	transketolase	TGME49_318310
TGME49_318320	N/A	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain-containing protein	TGME49_318320
TGME49_318330	MYSTA	histone lysine acetyltransferase MYST-A	TGME49_318330
TGME49_318340	N/A	hypothetical protein	TGME49_318340
TGME49_318350	PUF2	Pumilio-family RNA binding repeat-containing protein	TGME49_318350
TGME49_318360	N/A	hypothetical protein	TGME49_318360
TGME49_318370	N/A	hypothetical protein	TGME49_318370
TGME49_318380	N/A	hypothetical protein	TGME49_318380
TGME49_318390	N/A	hypothetical protein	TGME49_318390
TGME49_318400	N/A	hypothetical protein	TGME49_318400
TGME49_318410	N/A	TCP-1 chaperonin, putative	TGME49_318410
TGME49_318420	N/A	30S ribosomal protein S16, putative	TGME49_318420
TGME49_318430	MDH	malate dehydrogenase MDH	TGME49_318430
TGME49_318440	N/A	helicase associated domain (ha2) protein	TGME49_318440
TGME49_318450	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_318450
TGME49_318460	N/A	P-type ATPase of unknown pump specificity (type V) protein	TGME49_318460
TGME49_318470	AP2IV4	AP2 domain transcription factor AP2IV-4	TGME49_318470
TGME49_318480	RAD5	SWI2/SNF2-containing protein RAD5	TGME49_318480
TGME49_318490	N/A	protein arginine N-methyltransferase SFM1-like, putative	TGME49_318490
TGME49_318500	N/A	cpw-wpc domain-containing protein	TGME49_318500
TGME49_318510	NSF	N-ethylmaleimide-sensitive fusion protein, putative	TGME49_318510
