Gene ID	Fold Change (Avg)	Avg Ref
TGME49_212170	-1.3	19.57
TGME49_212180	37.5	0.38
TGME49_212190	-1.2	95.96
TGME49_212200	-5.4	29.89
TGME49_212210	1.2	88.64
TGME49_212220	-1.1	101.51
TGME49_212240	16.4	4.51
TGME49_212250	-1.4	139.83
TGME49_212260	-1.6	164.37
TGME49_212270	-837.2	680.15
TGME49_212275	-20.2	8.07
TGME49_212280	-1.1	3.34
TGME49_212290	2	1779.49
TGME49_212300	-3.7	276.61
TGME49_212310	1.3	604.74
TGME49_212410	110.8	1.27
TGME49_212420	178.8	0.74
TGME49_212710	2.5	1.57
TGME49_212725	1.4	47.76
TGME49_212735	-1.1	29.25
TGME49_212740	4.2	0.86
TGME49_212760	1.7	52.29
TGME49_212770	-4.7	282.41
TGME49_212775	1	0
TGME49_212780	-5.7	56.14
TGME49_212800	-1.3	49.75
TGME49_212810	11.7	0.39
TGME49_212820	1.2	35.24
TGME49_212830	1	0.26
TGME49_212840	-1.5	42.57
TGME49_212850	-4	92.06
TGME49_212860	2.2	20.45
TGME49_212880	-1.9	14.72
TGME49_212900	-253.9	78.79
TGME49_212910	6.8	0.39
TGME49_212920	1.1	93.91
TGME49_212930	1.5	65.39
TGME49_212937	10.9	0.02
TGME49_212940	-1.8	11.93
TGME49_212950	-1.5	22.48
TGME49_212960	-1.6	58.28
TGME49_212970	101.4	0.51
TGME49_212980	-6.7	334.51
TGME49_212990	-6.4	67.31
TGME49_213000	-1.2	30.31
TGME49_213010	-1.8	60.13
TGME49_213020	1.9	6.58
TGME49_213030	-1.2	216.15
TGME49_213040	-1.7	22.37
TGME49_213050	-700.7	409.7
TGME49_213060	1.8	4.41
TGME49_213065	1.3	2.17
TGME49_213067	-135	161.1
TGME49_213069	1.3	7.58
TGME49_213072	-2.2	59.62
TGME49_213100	-1.5	9.56
TGME49_213115	-1.4	10.74
TGME49_213240	-2.8	44.36
TGME49_213255	2.7	1.42
TGME49_213280	-16.5	772.99
TGME49_213290	21.3	0.17
TGME49_213300	1.3	4.17
TGME49_213310	-2.7	20.07
TGME49_213325	-3	18.94
TGME49_213340	1	0.15
TGME49_213350	2.3	1593.56
TGME49_213360	18.3	0.03
TGME49_213370	-1.9	11.44
TGME49_213380	-1.4	0.32
TGME49_213388	-1.4	13.95
TGME49_213392	-1.6	53.39
TGME49_213400	-2.7	54.06
TGME49_213410	1.3	321.37
TGME49_213415	1.1	28.64
TGME49_213420	-1	18.52
TGME49_213460	7.7	11.28
TGME49_213480	5.4	6.47
TGME49_213490	1	39.31
TGME49_213520	1.1	54.9
TGME49_213530	43.4	0.29
TGME49_213550	-2.2	49.77
TGME49_213560	44.3	0.1
TGME49_213570	-1.4	234.59
TGME49_213580	3	3667.14
TGME49_213590	-3.9	265.18
TGME49_213600	-1.3	20.08
TGME49_213610	-29.1	192.32
TGME49_213610	-29.1	192.32
TGME49_213620	2	5.24
