gene_id	gene_name	previous_ids	product
PF3D7_0206600	N/A	Previous IDs: PF02_0062;PFB0290c	DNA-directed RNA polymerase III subunit RPC10, putative
PF3D7_0206700	ADSL	Previous IDs: PF02_0063;PFB0295w	adenylosuccinate lyase
PF3D7_0206800	MSP2	Previous IDs: PF02_0064;PFB0300c	merozoite surface protein 2
PF3D7_0206900	MSP5	Previous IDs: PF02_0065;PF3D7_0206900.1;PF3D7_0206900.2;PFB0305c	merozoite surface protein 5
PF3D7_0206900	MSP5	Previous IDs: PF02_0065;PF3D7_0206900.1;PF3D7_0206900.2;PFB0305c	merozoite surface protein 5
PF3D7_0207000	MSP4	Previous IDs: PF02_0066;PFB0310c	merozoite surface protein 4
PF3D7_0207100	N/A	Previous IDs: PF02_0067;PFB0315w	conserved Plasmodium protein, unknown function
PF3D7_0207200	ISCA1	Previous IDs: PF02_0068;PFB0320c	iron-sulfur assembly protein, putative
PF3D7_0207300	SERA8	Previous IDs: PF02_0069;PFB0325c	serine repeat antigen 8
PF3D7_0207400	SERA7	Previous IDs: PF02_0070;PFB0330c	serine repeat antigen 7
PF3D7_0207500	SERA6	Previous IDs: PF02_0071;PFB0335c	serine repeat antigen 6
PF3D7_0207600	SERA5	Previous IDs: PF02_0072;PFB0340c	serine repeat antigen 5
PF3D7_0207700	SERA4	Previous IDs: PF02_0073;PFB0345c	serine repeat antigen 4
PF3D7_0207800	SERA3	Previous IDs: PF02_0074;PFB0350c	serine repeat antigen 3
PF3D7_0207900	SERA2	Previous IDs: PF02_0075;PFB0355c	serine repeat antigen 2
PF3D7_0208000	SERA1	Previous IDs: PF02_0076;PFB0360c	serine repeat antigen 1
PF3D7_0208100	N/A	Previous IDs: PF02_0077;PF3D7_0208100.1;PF3D7_0208100.2;PFB0365w	C2 domain-containing protein 5, putative
PF3D7_0208200	KRR1	Previous IDs: PF02_0078;PFB0370c	KRR1 small subunit processome component, putative
PF3D7_0208300	N/A	Previous IDs: PF02_0079;PFB0375w	conserved Plasmodium protein, unknown function
PF3D7_0208400	N/A	Previous IDs: PF02_0080;PFB0380c	histidine phosphatase, putative
PF3D7_0208500	ACP	Previous IDs: PF02_0081;PFB0385w	acyl carrier protein
PF3D7_0208600	RRF1	Previous IDs: PF02_0082;PFB0390w	ribosome-recycling factor
PF3D7_0208700	N/A	Previous IDs: PF02_0083;PF3D7_0208700.1;PF3D7_0208700.2;PFB0391c	SHS2 domain-containing protein, putative
PF3D7_0208800	N/A	Previous IDs: PF02_0084;PFB0395w	protein P22, putative
PF3D7_0208900	P230p	Previous IDs: PF02_0085;PFB0400w	6-cysteine protein P230p
PF3D7_0209000	P230	Previous IDs: PF02_0086;PFB0405w	6-cysteine protein P230
PF3D7_0209100	PATPL1	Previous IDs: PF02_0087;PFB0410c	patatin-like phospholipase 1
