Gene ID	Score
TGME49_217500	51.298
TGME49_299200	37.8767
TGME49_500134	26.5631
TGME49_231100	50.9872
TGME49_231370	65.7378
TGME49_233040	70.113
TGME49_233330	9.8199
TGME49_261040	9.271
TGME49_270850	10.4555
TGME49_258690	59.7482
TGME49_263660	26.0224
TGME49_273075	130.605
TGME49_268835	90.6522
TGME49_263150	36.6531
TGME49_500078	69.1357
TGME49_321500	78.6059
TGME49_227615	129.5972
TGME49_227380	81.1007
TGME49_202860	4.2109
TGME49_297180	75.2301
TGME49_297280	2.7949
TGME49_500413	30.5814
TGME49_290010	15.9823
TGME49_306730	6.3378
TGME49_297220	20.8727
TGME49_320580	30.7839
TGME49_241140	54.927
TGME49_267540	45.7977
TGME49_266335	4.8441
TGME49_279405	9.957
TGME49_266330	25.9767
TGME49_291120	16.3701
TGME49_289800	49.384
TGME49_245620	20.0499
TGME49_216510	51.1805
TGME49_257960	37.8016
TGME49_246475	8.0164
TGME49_315970	3.7089
TGME49_271891	7.1913
TGME49_231815	35.8883
TGME49_268320	36.4416
TGME49_500288	14.1097
TGME49_200010	84.3978
TGME49_238505	7.6565
TGME49_239040	6.9561
TGME49_242460	28.319
TGME49_213800	55.4372
TGME49_500112	56.6267
TGME49_316500	5.4778
TGME49_316730	40.0412
TGME49_217590	29.9473
TGME49_246330	55.9433
TGME49_213280	61.864
TGME49_259710	31.7836
TGME49_259172	21.2001
TGME49_258200	10.5349
TGME49_257050	46.7465
TGME49_229690	36.5877
TGME49_270520	53.3972
TGME49_240770	6.6674
TGME49_500135	6.668
TGME49_276155	33.7065
TGME49_278790	27.5982
TGME49_213635	10.3387
TGME49_225955	8.8816
TGME49_228430	28.0464
TGME49_224890	55.2606
TGME49_203600	56.4833
TGME49_211680	58.0264
TGME49_318400	83.6954
TGME49_267530	30.7222
TGME49_291160	8.4223
TGME49_294550	50.8489
TGME49_219742	16.231
TGME49_248260	56.3453
TGME49_316210	59.8733
TGME49_255340	48.8411
TGME49_251520	21.9431
TGME49_278410	17.9192
TGME49_276860	38.931
TGME49_286160	51.5234
TGME49_207430	47.8098
TGME49_206590	66.1188
TGME49_203740	84.3816
TGME49_290870	44.092
TGME49_500225	45.5916
TGME49_244860	34.8823
TGME49_294370	47.5531
TGME49_294430	17.3506
TGME49_315710	55.3687
TGME49_247400	88.1225
TGME49_253040	40.1391
TGME49_278390	14.7442
TGME49_254860	25.1855
TGME49_270520	53.3972
TGME49_229620	27.7711
TGME49_233290	24.6004
TGME49_209810	4.0069
TGME49_215350	69.9671
TGME49_275350	43.7375
TGME49_275355	6.5793
TGME49_200700	17.4616
TGME49_267300	27.1481
TGME49_264890	32.409
TGME49_297845	44.9983
TGME49_239610	31.573
TGME49_249610	42.1386
TGME49_300250	61.5815
TGME49_246982	52.6472
TGME49_500302	40.493
TGME49_285200	25.2768
TGME49_311190	80.1699
TGME49_216890	42.0769
TGME49_258400	15.7595
TGME49_232400	16.9082
TGME49_232670	50.3246
TGME49_235000	12.7549
TGME49_225450	26.1836
TGME49_202255	64.8287
TGME49_298060	26.4088
TGME49_210740	6.5343
TGME49_266340	9.7252
TGME49_289860	5.8701
TGME49_267370	34.5007
TGME49_259080	13.7707
TGME49_258970	11.8463
TGME49_263680	19.4996
TGME49_272730	25.9746
TGME49_208360	37.8962
TGME49_268960	62.4715
TGME49_500405	26.9353
TGME49_500022	12.0931
TGME49_320540	9.0423
TGME49_239700	19.2179
TGME49_277260	46.6794
TGME49_220400	38.3294
TGME49_286130	31.4258
TGME49_268580	40.394
TGME49_233300	49.6288
TGME49_270260	19.8075
TGME49_208990	33.0035
TGME49_321290	33.0088
TGME49_291850	22.7039
TGME49_500215	54.9357
TGME49_220320	30.5455
TGME49_296340	3.4123
TGME49_315700	38.1874
TGME49_259900	2.5105
TGME49_262630	43.2111
TGME49_264875	58.2721
TGME49_244090	37.0568
TGME49_244890	13.7352
TGME49_295935	35.54
TGME49_299040	65.9784
TGME49_313235	152.259
TGME49_263580	71.3164
TGME49_259670	7.4832
TGME49_500254	12.6393
TGME49_500390	2.9523
TGME49_307640	6.3054
TGME49_252260	40.871
TGME49_257572	3.8524
TGME49_229330	11.4155
TGME49_500154	3.651
TGME49_500162	17.6716
TGME49_266500	9.5113
TGME49_218860	4.5029
TGME49_247660	41.8991
TGME49_500089	3.8699
TGME49_228080	19.4323
TGME49_304630	55.5803
TGME49_203520	38.6134
TGME49_202540	60.6345
TGME49_204070	54.1308
TGME49_223270	36.104
TGME49_214920	28.3836
TGME49_234940	21.9054
TGME49_236240	35.2281
TGME49_215060	42.3579
TGME49_215570	51.0963
TGME49_202760	55.1609
TGME49_500166	22.4899
TGME49_243790	45.4221
TGME49_305950	26.186
TGME49_264980	34.0175
TGME49_237840	55.0973
TGME49_222010	35.204
TGME49_223025	35.1503
TGME49_297330	10.2443
TGME49_319880	41.0132
TGME49_221500	48.5326
TGME49_222110	25.2686
TGME49_294210	5.5076
TGME49_500181	21.9734
TGME49_219770	52.6302
TGME49_219485	43.1907
TGME49_218510	89.7516
TGME49_249698	28.5367
TGME49_277220	22.2099
TGME49_213392	56.0493
TGME49_213680	30.5998
TGME49_307000	33.3408
TGME49_216240	27.6612
TGME49_262860	44.2845
TGME49_262760	33.4965
TGME49_262560	52.4476
TGME49_255715	35.2265
TGME49_219840	7.322
TGME49_218480	19.844
TGME49_245560	108.6065
TGME49_247950	15.8902
TGME49_500232	61.448
TGME49_252300	6.569
TGME49_251910	6.8084
TGME49_286460	71.2895
TGME49_254210	32.0618
TGME49_285810	32.5166
TGME49_230210	74.9559
TGME49_230580	30.8061
TGME49_314780	37.8616
TGME49_315300	35.3979
TGME49_315420	24.4586
TGME49_316760	34.9946
TGME49_216160	42.889
TGME49_271880	53.8058
TGME49_259640	42.4989
TGME49_269430	6.5396
TGME49_231870	32.896
TGME49_273830	33.781
TGME49_270550	11.6496
TGME49_268010	37.6003
TGME49_263870	31.3448
TGME49_263710	59.8049
TGME49_263090	48.2156
TGME49_208340	37.8547
TGME49_205750	25.8309
TGME49_203450	13.3555
TGME49_203380	33.8796
TGME49_203362	58.5048
TGME49_202180	37.302
TGME49_201520	50.7285
TGME49_318330	58.0085
TGME49_500230	7.6867
TGME49_223880	48.1724
TGME49_215420	25.2929
TGME49_211450	39.7434
TGME49_500208	23.1657
TGME49_238420	57.4929
TGME49_242700	62.4586
TGME49_265400	28.2313
TGME49_288460	28.4409
TGME49_288720	22.0884
TGME49_264660	39.4288
TGME49_305260	42.0867
TGME49_306195	52.123
TGME49_295140	13.2734
TGME49_294270	35.2843
TGME49_219570	55.5008
TGME49_247740	26.5459
TGME49_213000	54.8682
TGME49_213360	3.9116
TGME49_309760	71.0906
TGME49_311240	90.9844
TGME49_315950	90.7598
TGME49_217000	59.0675
TGME49_260310	37.2646
TGME49_255240	35.6273
TGME49_299825	16.0506
TGME49_218840	31.3586
TGME49_246990	52.6472
TGME49_247485	37.9024
TGME49_253520	41.0205
TGME49_285830	29.0166
TGME49_285180	57.2888
TGME49_312360	24.2311
TGME49_312600	54.5792
TGME49_312635	62.901
TGME49_313400	54.244
TGME49_316350	33.1332
TGME49_216860	48.4702
TGME49_216720	86.4032
TGME49_500147	4.9917
TGME49_271870	22.9743
TGME49_271360	35.5182
TGME49_270750	47.958
TGME49_500129	14.6844
TGME49_255920	20.4854
TGME49_269410	43.027
TGME49_229010	19.2853
TGME49_230170	48.638
TGME49_263750	75.0894
TGME49_263480	25.5344
TGME49_271280	17.1403
TGME49_268920	38.5638
TGME49_321480	26.1094
