gene_id	chromprox_hp1_log2fc	chromprox_hp1_hit	chromprox_h3k27ac_log2fc	chromprox_h3k27ac_hit	chromprox_h3k4me3_log2fc	chromprox_h3k4me3_hit	chromprox_centromere_log2fc	chromprox_centromere_hit
PF3D7_1105600	-0.0726306	0	-0.237895	0	-0.0224603	0	-0.056632	0
PF3D7_0410800	-0.494335	0	-0.731424	0	-0.228605	0	1.27009	1
PF3D7_1234800	0.27316	0	0.779693	0	0.487985	0	-0.0693534	0
PF3D7_0731600	-0.393504	0	-0.389225	0	-0.391592	0		
PF3D7_1349200	-0.194192	0	-0.317676	0	0.0212231	0	-0.171067	0
PF3D7_1446500	-0.348895	0	-0.32364	0	-0.230619	0	0.136853	0
PF3D7_0209800	-0.0796223	0	-0.0641111	0	-0.121777	0	0.0726035	0
PF3D7_0409600	0.472891	0	0.297548	0	0.15361	0	0.741104	0
PF3D7_1224000	0.0852432	0	0.541729	0	0.234532	0	0.0663054	0
PF3D7_0811600	0.0493272	0	0.0705535	0	-0.185673	0	0.0278923	0
PF3D7_1352700	0.048982	0	0.592368	0	0.0785179	0	0.0852809	0
PF3D7_0524000	0.0550543	0	-0.224707	0	-0.0193857	0	-0.115283	0
PF3D7_0807600	-0.23675	0	0.466144	0	0.251567	0	0.339535	0
PF3D7_0605800	0.940169	0	0.948949	0	0.257758	0	0.501004	0
PF3D7_0613300	-0.555866	0	-0.578013	0	-0.0559521	0		
PF3D7_1246200	-0.312237	0	-0.512929	0	-0.0668697	0	-0.0465885	0
PF3D7_1468700	0.0990295	0	-0.270174	0	0.11063	0	-0.0844765	0
PF3D7_0806800	-0.115276	0	0.107902	0	-0.141305	0	-0.387758	0
PF3D7_1016300	-0.761545	0	-0.525152	0	-0.118912	0	0.274036	0
PF3D7_1438100	-0.0374889	0	0.203847	0	-0.360539	0		
PF3D7_0707700	0.284055	0	-0.331161	0	0.0699762	0	0.182124	0
PF3D7_0422500	0.0143579	0	0.21674	0	0.185354	0	0.739397	0
PF3D7_1361200	0.712266	0	2.21117	1	0.962619	1	0.563243	0
PF3D7_0722200	-1.06031	0	-0.789102	0	-0.0646877	0	0.15744	0
PF3D7_1441400	0.847506	0	0.533532	0	0.248079	0	0.182794	0
PF3D7_1108700	0.113366	0	-0.223434	0	-0.184855	0	0.0159951	0
PF3D7_1465900	-0.0111504	0	-0.154494	0	0.167305	0	-0.0683438	0
PF3D7_1447800	-0.133427	0	-0.842663	0	-0.0838846	0	-0.591696	0
PF3D7_1416100	-0.166553	0	-0.207591	0	-0.0660013	0	-0.561145	0
PF3D7_1250800	4.32692	1	1.04182	0			2.7948	1
PF3D7_0409400	-0.169895	0	-0.209805	0	-0.0608234	0		
PF3D7_1237500	-0.674877	0	-0.758247	0	-0.263385	0	0.372217	0
PF3D7_1355700	-0.00517718	0	0.764222	0	0.477368	0	0.570401	0
PF3D7_1311900	-0.385981	0	-0.439219	0	-0.187881	0	-0.0844064	0
PF3D7_0814200	-0.387321	0	-0.228783	0	0.092701	0	0.0778471	0
PF3D7_0804500	-0.0727107	0	0.0352554	0	0.192844	0	-0.657193	0
PF3D7_1408700	0.00636927	0	-0.265112	0	0.0102018	0	-0.634022	0
PF3D7_1138800	0.354614	0	1.59367	1	0.595572	0	0.114906	0
PF3D7_0708800	-0.444326	0	-0.493041	0	-0.113844	0	-0.130157	0
PF3D7_1343700	-0.106431	0	-0.241404	0	-0.134673	0	-0.427342	0
PF3D7_1233600	0.593821	0	1.59724	1	-0.568274	0	0.0447153	0
PF3D7_1302800	-0.458539	0	-0.474345	0	-0.00603612	0	-0.0949746	0
PF3D7_0612900	0.0913906	0	0.171434	0	0.0939032	0	0.0654996	0
PF3D7_1311500	-0.259269	0	-0.309904	0	-0.123994	0	-0.117773	0
PF3D7_1447000	-0.0330048	0	-0.00366974	0	0.10323	0	-0.093816	0
PF3D7_1456500	0.128349	0	1.44315	0	0.553858	0	1.02643	1
PF3D7_1126300	5.81381	1	1.14695	0				
PF3D7_0909400	-0.626311	0	-0.395121	0	0.109732	0	0.121666	0
PF3D7_1008800	0.0604795	0	0.167383	0	0.168694	0	0.0966752	0
PF3D7_1424100	-0.204805	0	0.145219	0	-0.117635	0	0.0490523	0
PF3D7_1308000	-0.267452	0	-0.431005	0	0.0963879	0	-0.668017	0
PF3D7_1018200	-0.520506	0	-0.533454	0	-0.196153	0	-0.86928	0
PF3D7_1223100	-0.262149	0	-0.200048	0	-0.155791	0	-0.180694	0
PF3D7_1343000	0.0624886	0	-0.150934	0	-0.0720062	0	-0.141259	0
PF3D7_1134300	-0.29062	0	-0.612985	0	-0.0828756	0	-0.732759	0
PF3D7_1362200	0.0840537	0	0.626935	0	0.0466169	0	-0.0888096	0
PF3D7_1132200	-0.318686	0	-0.251623	0	-0.0176983	0	-0.0698928	0
PF3D7_1474900	-0.0837688	0	-0.0267995	0	0.0284742	0	-0.295459	0
PF3D7_1119600	-0.129113	0	-0.48302	0	-0.00604312	0		
PF3D7_1424400	0.0166842	0	0.197677	0	0.22661	0	-0.0235293	0
PF3D7_1329300	1.28178	0	0.55825	0	0.0682627	0	0.353918	0
PF3D7_0607600	0.120951	0	-1.4869	0	-0.278616	0	-0.544787	0
PF3D7_1438000	-0.0752455	0	0.0427303	0	0.0822709	0	0.359089	0
PF3D7_1342000	-0.147963	0	0.00206629	0	0.137611	0	0.110137	0
PF3D7_1022000	-0.395879	0	-0.731645	0	-0.140554	0	-0.431863	0
PF3D7_0518500	0.215382	0	0.360961	0	0.139575	0	1.9897	1
